Country,Year,Color
Albania,2077308,#151B54
Algeria,40371308,#000080
Angola,13672066,#342D7E
Argentina,74634536,#15317E
Armenia,2445350,#151B8D
Australia,124727715,#0000A0
Austria,33840830,#0020C2
Azerbaijan,11838175,#0041C2
Bahrain,9783858,#2554C7
Bangladesh,31053241,#1569C7
Belarus,27730055,#2B60DE
Belgium,60859317,#1F45FC
Benin,3653360,#6960EC
Bolivia,7321899,#736AFF
Bosnia and Herzegovina,6404918,#357EC7
Botswana,2263452,#368BC1
Brazil,265624109,#488AC7
Brunei,3314404,#3090C7
Bulgaria,17857389,#659EC7
Cambodia,5024345,#87AFC7
Cameroon,7108880,#95B9C7
Canada,251838454,#728FCE
Chile,30919992,#2B65EC
China,2417125926,#306EFF
Colombia,32235054,#157DEC
"Congo, Dem. Rep.",23759179,#1589FF
"Congo, Rep.",1469419,#6495ED
Costa Rica,4648782,#6698FF
Cote d'Ivoire,9571539,#38ACEC
Croatia,8535316,#56A5EC
Cuba,10979804,#5CB3FF
Cyprus,2444787,#3BB9FF
Czech Republic,44107627,#79BAEC
Denmark,19252672,#82CAFA
Dominican Republic,8338902,#82CAFF
Ecuador,12096898,#A0CFEC
Egypt,73264143,#B7CEEC
El Salvador,4192135,#B4CFEC
Eritrea,744529,#C2DFFF
Estonia,5567718,#C6DEFF
Ethiopia,33201772,#AFDCEC
Finland,36402207,#ADDFFF
France,262288156,#BDEDFF
Gabon,2134145,#CFECEC
Georgia,3118273,#E0FFFF
Germany,327374664,#EBF4FA
Ghana,9322437,#F0F8FF
Greece,27615410,#F0FFFF
Guatemala,10255890,#CCFFFF
Haiti,2288289,#93FFE8
Honduras,4567481,#9AFEFF
"Hong Kong, China",13791696,#7FFFD4
Hungary,25667116,#00FFFF
Iceland,5369327,#7DFDFE
India,692689009,#57FEFF
Indonesia,207848622,#8EEBEC
Iran,208366533,#50EBEC
Iraq,37804857,#4EE2EC
Ireland,14397074,#81D8D0
Israel,22911694,#92C7C7
Italy,170238884,#77BFC7
Jamaica,3054020,#78C7C7
Japan,496849124,#48CCCD
Jordan,7204321,#43C6DB
Kazakhstan,75007941,#46C7C7
Kenya,19561841,#7BCCB5
North Korea,18531387,#43BFC7
South Korea,250010247,#3EA99F
Kosovo,2436486,#3B9C9C
Kuwait,33399957,#438D80
Kyrgyz Republic,2918161,#348781
Latvia,4413740,#307D7E
Lebanon,6451685,#5E7D7E
Libya,19147757,#4C787E
Lithuania,6925194,#008080
Luxembourg,4229279,#4E8975
"Macedonia, FYR",2889554,#78866B
Malaysia,72645419,#848b79
Mexico,178113115,#617C58
Moldova,2602641,#728C00
Mongolia,3276015,#667C26
Morocco,16508206,#254117
Mozambique,10197675,#306754
Myanmar,13997323,#347235
Namibia,1603983,#437C17
Nepal,10217978,#387C44
Netherlands,83425868,#347C2C
New Zealand,18198112,#347C17
Nicaragua,3137163,#348017
Nigeria,113053066,#4E9258
Norway,32451747,#6AA121
Oman,19999226,#4AA02C
Pakistan,84594762,#41A317
Panama,3772609,#3EA055
Paraguay,4788545,#6CBB3C
Peru,19397846,#6CC417
Philippines,40476707,#4CC417
Poland,101454479,#52D017
Portugal,23540988,#4CC552
Qatar,22511553,#54C571
Romania,34990152,#99C68E
Russia,701523017,#89C35C
Saudi Arabia,169298253,#85BB65
Senegal,3381645,#8BB381
Serbia,15610863,#9CB071
Singapore,32773789,#B2C248
Slovak Republic,17813254,#9DC209
Slovenia,7211353,#A1C935
South Africa,136866931,#7FE817
Spain,127739454,#59E817
Sri Lanka,9869901,#57E964
Sudan,16154793,#64E986
Sweden,51281632,#5EFB6E
Switzerland,26207849,#00FF00
Syria,21734057,#5FFB17
Tajikistan,2307909,#87F717
Tanzania,20078061,#8AFB17
Thailand,117428736,#6AFB92
Trinidad and Tobago,21347133,#98FF98
Tunisia,9629310,#B5EAAA
Turkey,105133109,#C3FDB8
Turkmenistan,21306775,#CCFB5D
Ukraine,130499052,#B1FB17
United Arab Emirates,62132748,#BCE954
United Kingdom,202506318,#EDDA74
United States,2216323989,#EDE275
Uruguay,4165033,#FFE87C
Uzbekistan,43787312,#FFFF00
Venezuela,76947732,#FFF380
Vietnam,59230338,#FFFFC2
Yemen,7165035,#FFFFCC
Zambia,8115282,#FFF8C6
Zimbabwe,9604764,#FFF8DC
