HydroProductionTotal,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Algeria,4643.16423,5932.932072,4901.117799,22785.89854,21582.11522,47721.41015,18744.62597,19432.50215,24333.61995,26311.26397
Angola,78417.88478,87446.25967,98280.30954,106706.7928,150472.9149,190799.6561,229148.7532,214703.3534,269475.4944,266036.1135
Argentina,2474118.659,3183404.987,3082545.142,2907394.669,2617368.874,2923817.713,3263112.64,2611092.003,2615391.23,2911951.849
Armenia,108426.4832,83233.01806,142562.3388,170421.3242,171797.0765,152450.5589,156921.7541,159329.3207,154514.1874,173602.7515
Australia,1406706.793,1424161.651,1365176.268,1400687.876,1379707.653,1311865.864,1350042.992,1227773.001,1023989.682,944539.9828
Austria,3597248.495,3478503.869,3458899.398,2855975.924,3160963.027,3153654.342,3081513.328,3190283.749,3297764.402,3517282.889
Azerbaijan,131900.258,111865.8641,173688.736,212295.7868,236887.3603,258727.4291,216509.0284,203095.4428,191917.4549,198538.2631
Bangladesh,81341.35856,85382.63113,91659.50129,96818.57266,105417.0249,111177.988,119432.5021,119690.4557,126741.1866,133447.9794
Belarus,2321.582115,2579.535684,2493.551161,2407.566638,2837.489252,3095.44282,3009.458298,3009.458298,3353.396389,3783.319003
Belgium,39552.88048,37919.17455,30954.4282,21238.17713,27257.09372,24763.54256,30868.44368,33447.97936,35253.65434,28202.92347
Bolivia,167239.8968,183061.049,189423.9037,170851.2468,184780.7395,168873.6028,185640.5847,199398.1083,198624.2476,197420.4643
Bosnia and Herzegovina,438005.1591,445485.8126,452966.466,387016.3371,514101.4617,515735.1677,503611.35,344024.0757,418486.6724,536457.4377
Brazil,26173946.69,23033190.03,24599484.09,26278245.92,27583576.96,29016079.11,29991831.47,32159501.29,31776096.3,33618916.6
Bulgaria,229836.6294,149355.1161,188650.043,260447.1195,272398.9682,372914.8753,364402.4076,247119.5185,242820.2923,298366.2941
Cameroon,295958.7274,298710.2322,273602.7515,303353.3964,337059.3293,324333.6199,334651.7627,330782.4592,363886.5004,345313.8435
Canada,30826225.28,28660275.15,30142218.4,29015047.29,29306534.82,31266122.1,30339810.83,31606620.81,32183662.94,31698022.36
Chile,1592089.424,1805932.932,1914445.4,1863628.547,1889853.826,2277128.117,2504643.164,1988822.012,2080223.56,2175064.488
China,19124161.65,23854858.13,24761306.96,24392175.41,30399312.12,34137317.28,37470851.25,41725193.47,50317024.94,52935511.61
Costa Rica,488736.0275,469303.5254,513413.5856,517798.7962,572914.8753,564574.3766,567583.8349,582029.2347,635167.6698,621238.1771
Croatia,505073.0868,562940.6707,461306.9647,419260.5331,598280.3095,544539.9828,515907.1367,364230.4385,448495.2709,578675.8383
Cuba,7652.622528,6448.839209,9114.359415,11006.01892,7566.638005,5846.947549,8082.545142,10404.12726,11865.86414,12983.66294
Czech Republic,151160.7911,176612.2098,214273.4308,118916.595,173602.7515,204643.1642,219260.5331,179621.6681,174032.6741,208856.4058
Denmark,2579.535684,2407.566638,2751.504729,1805.674979,2321.582115,1977.644024,1977.644024,2407.566638,2235.597592,1633.705933
Dominican Republic,65520.20636,59845.22786,74892.51935,102579.5357,137575.2365,164058.4695,150472.9149,146259.6733,119002.5795,145485.8126
Ecuador,654256.2339,607996.5606,647033.534,617454.8581,637317.2829,591831.4703,613069.6475,777042.1324,971109.2003,792949.2691
Egypt,1177730.009,1300945.83,1105674.979,1119432.502,1087188.306,1087188.306,1111349.957,1333619.948,1262424.764,1106018.917
El Salvador,101031.8143,100085.9845,97936.37145,126053.3104,119346.5176,143508.1685,168701.6337,149527.0851,175236.4574,129406.7068
Estonia,429.9226139,601.8916595,515.9071367,1117.798796,1891.659501,1891.659501,1203.783319,1805.674979,2407.566638,2751.504729
Ethiopia,141530.5245,171281.1694,173946.6896,196044.712,216766.9819,243594.1531,280223.5598,291057.6096,283404.9871,303009.4583
Finland,1260533.104,1135425.623,926569.2175,824677.558,1295786.758,1185210.662,988306.1049,1219002.58,1471367.154,1090799.656
France,5772742.906,6417368.874,5210490.112,5086758.383,5148323.302,4449441.101,4828976.784,4980739.467,5469045.572,4918572.657
Georgia,503869.3035,476526.2253,581857.2657,561134.9957,520120.3783,536199.4841,457007.7386,586242.4764,615821.1522,637317.2829
Germany,1868615.649,1954686.156,1988306.105,1656405.847,1812295.787,1683662.941,1713757.524,1797334.48,1800687.876,1604471.195
Ghana,568357.6956,568185.7266,433018.0567,334049.871,454084.2648,484006.8788,483147.0335,320464.3164,532674.1187,591315.5632
Greece,317540.8426,180309.5443,240756.6638,409802.2356,401719.6905,431384.3508,504299.2261,222785.8985,284780.7395,462080.8255
Guatemala,216852.9665,189165.9501,167669.8194,159157.3517,265606.1909,326655.2021,305760.963,277558.0396,316680.9974,215821.1522
Haiti,24333.61995,24333.61995,22355.97592,21926.05331,22355.97592,22785.89854,23301.80567,13241.61651,15563.19862,17798.79622
Honduras,194325.0215,163714.5314,138521.0662,149699.0542,120464.3164,147721.4101,177987.9622,190369.7334,196990.5417,240498.7102
Hungary,15305.24506,15993.12124,16680.99742,14703.3534,17626.82717,17368.8736,15993.12124,18056.74979,18314.70335,19604.4712
