EnergyProducedTotal,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Albania,986.025,882.889,959.262,1045.889,1152.894,1166.305,1191.732,1054.78,1153.343,1253.804
Algeria,142245.063,136800.251,143142.601,155315.759,157890.88,166666.786,164941.043,164296.83,162044.04,152291.931
Angola,43680.183,43455.459,51433.983,51348.855,57609.529,70906.346,79992.848,95054.152,105776.517,100957.649
Argentina,82264.724,84487.151,81336.356,84268.092,87129.602,84685.03,86192.461,82870.055,82859.384,80818.691
Armenia,631.964,602.075,738.294,692.146,746.425,861.287,845.953,825.946,797.069,824.933
Australia,233553.007,253785.78,263493.155,263592.776,269289.248,280113.535,281479.879,298607.28,301041.055,310697.653
Austria,9780.19,9774.678,9818.513,9601.387,9897.677,10057.715,10139.932,10880.39,11224.21,11399.489
Azerbaijan,18961.739,19580.733,19751.898,19825.795,20052.879,27228.541,38126.643,52118.813,58633.693,64558.519
Bahrain,14860.259,14868.471,15269.583,15632.907,15825.429,16130.536,16496.284,17017.255,17492.745,17548
Bangladesh,15156.007,16178.19,16738.683,17549.391,18425.632,19344.268,21229.75,22132.222,23394.896,24837.91
Belarus,3517.753,3599.105,3679.303,3578.115,3626.828,3813.381,3916.899,4010.158,4032.309,4045.351
Belgium,13733.959,13324.558,13497.086,13697.137,13747.918,13906.965,13771.036,14368.96,14544.923,15318.384
Benin,1445.199,1490.212,1545.447,1576.18,1623.353,1672.092,1827.13,1884.586,1939.868,1995.556
Bolivia,5542.668,6225.027,7051.317,8048.395,10762.932,13924.507,14650.617,15512.347,16167.737,14194.63
Bosnia and Herzegovina,3075.985,3095.547,3311.308,3484.746,3589.199,3646.38,3964.409,3947.139,4348.682,4473.804
Botswana,1126.641,1116.165,1119.258,1028.451,1018.456,1062.824,1055.099,979.211,1036.929,938.127
Brazil,148281.611,152151.862,167435.338,178327.102,182645.171,194816.957,206475.901,216357.092,228204.15,230306.734
Brunei,19684.298,19851.99,20265.051,21196.8,20749.304,21060.28,22317.078,20746.827,21126.399,18939.296
Bulgaria,9917.047,10408.272,10650.49,10223.419,10270.719,10648.893,11036.788,9972.111,10244.088,9826.067
Cambodia,3202.547,3256.396,3314.626,3369.603,3422.287,3478.611,3535.784,3593.846,3608.069,3667.95
Cameroon,11144.664,10695.343,11027.134,10896.919,10807.87,10507.542,10259.914,9245.818,9302.138,8848.61
Canada,372706.35,376977.296,384070.236,386182.572,397858.88,401068.547,410759.509,416352.836,406069.703,389809.663
