EnergeUseTotal(toe),2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Montenegro,,,,,,707404,828948,775129,825097,654495
Eritrea,707891,741727,748424,804279,743570,762890,696950,720631,677244,725528
Malta,675517,786581,733300,825662,829254,880820,833186,877123,836577,810064
"Congo, Rep.",814173,883532,868436,999144,1020277,1082866,1153805,1209302,1259697,1415976
Namibia,978150,1127177,1009627,1076089,1163275,1293512,1293843,1344838,1624507,1575212
Botswana,1836367,1867560,1916384,1906828,1857207,1928035,1955688,2032669,2151618,2022056
Gabon,1462801,1633376,1686556,1714846,1735758,1854191,1851194,1988813,1989403,2059815
Albania,1780183,1801011,2005974,2004925,2203616,2206282,2091818,2050135,2085887,2085420
Tajikistan,2148662,2122290,2128862,2169520,2346115,2340567,2414343,2580843,2471065,2333490
Kosovo,1478236,1818311,1810179,1908649,1920888,1858591,1875536,1948231,2113134,2367796
Moldova,2505169,2661213,2568108,2870200,2931038,3079236,2984050,2935890,2850555,2449370
Cyprus,2136980,2114384,2143335,2331621,2182923,2220074,2309330,2437076,2586162,2537126
Haiti,2010299,2053955,2309174,2217956,2287743,2584559,2648161,2777133,2773322,2595165
Armenia,2003353,1997793,1867566,1970280,2083173,2505049,2546149,2845324,2996571,2601206
Togo,2110736,2105747,2181626,2302761,2327027,2371755,2367865,2458068,2562691,2627605
"Macedonia, FYR",2666863,2575496,2526854,2767787,2755736,2901268,2913510,3042018,3010686,2811730
Kyrgyz Republic,2402314,2206028,2495649,2688100,2737921,2658350,2694343,2913674,2729963,3009583
Nicaragua,2720426,2768317,2888116,3099826,3271121,3326146,3455178,3077817,3048363,3045660
Georgia,2869166,2570408,2543939,2705288,2780504,2840532,3031512,3341325,3004559,3095523
Jamaica,3828345,3840238,3599617,3742580,3781890,3761105,4205858,4687212,4263672,3250069
Mongolia,2396588,2414745,2585629,2525390,2600481,2625014,2924602,3114445,3155928,3251927
Senegal,2397830,2591734,2631659,2556382,2735547,2790896,2798179,2999850,3076872,3266631
Panama,2578551,2815785,2622902,2649329,2607352,2878025,3093093,3001224,3115981,3429872
Luxembourg,3323696,3501974,3638188,3838704,4274678,4388066,4338698,4208341,4207177,3951878
Uruguay,3091889,2711575,2538084,2522978,2869031,2957157,3182672,3172144,4153147,4207044
Latvia,3714373,4072469,3992194,4232399,4345077,4416036,4547771,4669844,4484506,4221013
El Salvador,3967995,4151362,4231668,4418166,4382270,4525095,4736098,4452025,4499056,4223564
